schema_version,requested_action,catalog_key,sense_key,record_revision,catalog_status,term,lemma,part_of_speech,level,category,definition_zh,accepted_answers_zh,prompt_en,prompt_zh,phonetic_ipa,example_en,example_zh,accepted_forms_en,synonyms_en,antonyms_en,enable_en_to_zh,distractor_zh_1,distractor_zh_2,distractor_zh_3,distractor_zh_4,distractor_zh_5,distractor_zh_6,enable_zh_to_en,distractor_en_1,distractor_en_2,distractor_en_3,distractor_en_4,distractor_en_5,distractor_en_6,source_reference,contributor_ref,change_note,retirement_reason
word-catalog-v1,CREATE_DRAFT,,,,,relation,relation,noun,B1,people-family,親戚,關係,,,,,,,,,TRUE,父親身份,友誼,母性,婚姻,新娘,新郎,FALSE,,,,,,,,,,
word-catalog-v1,CREATE_DRAFT,,,,,relationship,relationship,noun,B1,people-family,關係,,,,,,,,,,TRUE,友誼,親戚,母性,婚姻,配偶,岳母,FALSE,,,,,,,,,,
word-catalog-v1,CREATE_DRAFT,,,,,friendship,friendship,noun,B1,people-family,友誼,,,,,,,,,,TRUE,關係,親戚,母性,婚姻,新娘,岳父,TRUE,relationship,motherhood,relation,fatherhood,relative,marriage,,,,
word-catalog-v1,CREATE_DRAFT,,,,,motherhood,motherhood,noun,B1,people-family,母性,,,,,,,,,,TRUE,岳父母,關係,友誼,親戚,新郎,婚姻,TRUE,friendship,fatherhood,relationship,relative,bride,groom,,,,
word-catalog-v1,CREATE_DRAFT,,,,,fatherhood,fatherhood,noun,B1,people-family,父親身份,,,,,,,,,,TRUE,親戚,岳父母,關係,母性,配偶,嫂子,TRUE,motherhood,friendship,marriage,relative,spouse,bride,,,,
word-catalog-v1,CREATE_DRAFT,,,,,relative,relative,noun,B1,people-family,親戚,,,,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,
word-catalog-v1,CREATE_DRAFT,,,,,marriage,marriage,noun,B1,people-family,婚姻,,,,,,,,,,TRUE,新娘,新郎,配偶,親戚,友誼,姐夫,TRUE,fatherhood,groom,motherhood,relation,spouse,friendship,,,,
word-catalog-v1,CREATE_DRAFT,,,,,unmarried,unmarried,adjective,B1,people-family,未婚的,,,,,,,,,,TRUE,已訂婚的,分居的,親密的,相關的,年長的,父母的,TRUE,engaged,separated,close,related,elderly,parental,,,,
word-catalog-v1,CREATE_DRAFT,,,,,engaged,engaged,adjective,B1,people-family,已訂婚的,,,,,,,,,,TRUE,未婚的,分居的,親密的,相關的,出生的,專業的,TRUE,unmarried,separated,close,related,born,senior,,,,
word-catalog-v1,CREATE_DRAFT,,,,,separated,separated,adjective,B1,people-family,分居的,,,,,,,,,,TRUE,未婚的,已訂婚的,親密的,相關的,商業的,財務的,TRUE,engaged,unmarried,close,related,professional,commercial,,,,
word-catalog-v1,CREATE_DRAFT,,,,,bride,bride,noun,B1,people-family,新娘,,,,,,,,,,TRUE,新郎,岳母,岳父,兒媳,配偶,嫂子,TRUE,mother-in-law,groom,father-in-law,spouse,sister-in-law,brother-in-law,,,,
word-catalog-v1,CREATE_DRAFT,,,,,groom,groom,noun,B1,people-family,新郎,,,,,,,,,,TRUE,新娘,女婿,岳母,姐夫,岳父,兒媳,FALSE,,,,,,,,,,
word-catalog-v1,CREATE_DRAFT,,,,,spouse,spouse,noun,B1,people-family,配偶,,,,,,,,,,TRUE,一代,嫂子,女婿,新郎,岳母,姐夫,TRUE,mother-in-law,bride,father-in-law,daughter-in-law,sister-in-law,son-in-law,,,,
word-catalog-v1,CREATE_DRAFT,,,,,single parent,single parent,noun,B1,people-family,單親,,,,,,,,,,TRUE,家譜,獨生子女,老年,中年,商業計劃,親戚,TRUE,only child,family tree,old age,middle age,business plan,flight attendant,,,,
word-catalog-v1,CREATE_DRAFT,,,,,only child,only child,noun,B1,people-family,獨生子女,,,,,,,,,,TRUE,單親,家譜,老年,中年,空乘人員,愛情生活,TRUE,single parent,family tree,old age,middle age,love letter,love life,,,,
word-catalog-v1,CREATE_DRAFT,,,,,family tree,family tree,noun,B1,people-family,家譜,,,,,,,,,,TRUE,單親,獨生子女,老年,中年,情書,盲約,TRUE,only child,single parent,old age,middle age,blind date,double date,,,,
word-catalog-v1,CREATE_DRAFT,,,,,mother-in-law,mother-in-law,noun,B1,people-family,岳母,,,,,,,,,,TRUE,岳父母,岳父,兒媳,一代,嫂子,女婿,TRUE,brother-in-law,parents-in-law,father-in-law,daughter-in-law,sister-in-law,generation,,,,
word-catalog-v1,CREATE_DRAFT,,,,,father-in-law,father-in-law,noun,B1,people-family,岳父,公公,,,,,,,,,TRUE,岳父母,岳母,姐夫,兒媳,一代,配偶,TRUE,mother-in-law,son-in-law,brother-in-law,parents-in-law,daughter-in-law,spouse,,,,
word-catalog-v1,CREATE_DRAFT,,,,,sister-in-law,sister-in-law,noun,B1,people-family,嫂子,,,,,,,,,,TRUE,女婿,岳父,姐夫,一代,配偶,婚姻,TRUE,son-in-law,father-in-law,brother-in-law,parents-in-law,groom,bride,,,,
word-catalog-v1,CREATE_DRAFT,,,,,brother-in-law,brother-in-law,noun,B1,people-family,姐夫,,,,,,,,,,TRUE,嫂子,兒媳,女婿,岳母,父親身份,關係,TRUE,sister-in-law,daughter-in-law,son-in-law,parents-in-law,marriage,groom,,,,
word-catalog-v1,CREATE_DRAFT,,,,,daughter-in-law,daughter-in-law,noun,B1,people-family,兒媳,,,,,,,,,,TRUE,一代,姐夫,女婿,岳父母,新娘,母性,TRUE,brother-in-law,son-in-law,mother-in-law,sister-in-law,generation,marriage,,,,
word-catalog-v1,CREATE_DRAFT,,,,,son-in-law,son-in-law,noun,B1,people-family,女婿,,,,,,,,,,TRUE,兒媳,一代,嫂子,姐夫,新娘,婚姻,TRUE,daughter-in-law,parents-in-law,father-in-law,mother-in-law,groom,relative,,,,
word-catalog-v1,CREATE_DRAFT,,,,,parents-in-law,parents-in-law,noun,B1,people-family,岳父母,公婆,,,,,,,,,TRUE,岳父,岳母,母性,父親身份,女婿,一代,FALSE,,,,,,,,,,
word-catalog-v1,CREATE_DRAFT,,,,,generation,generation,noun,B1,people-family,一代,,,,,,,,,,TRUE,岳父母,兒媳,女婿,姐夫,新郎,友誼,TRUE,parents-in-law,son-in-law,daughter-in-law,father-in-law,fatherhood,relationship,,,,
word-catalog-v1,CREATE_DRAFT,,,,,abandon,abandon,verb,B1,people-family,拋棄,,,,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,
word-catalog-v1,CREATE_DRAFT,,,,,bring up,bring up,phrasal_verb,B1,people-family,撫養,,,,,,,,,,TRUE,拋棄,欺騙,分開,退學,認真用功讀書,到達,FALSE,,,,,,,,,,
word-catalog-v1,CREATE_DRAFT,,,,,cheat,cheat,verb,B1,people-family,欺騙,,,,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,
word-catalog-v1,CREATE_DRAFT,,,,,leave,leave,verb,B1,people-family,拋棄,,,,,,,,,,TRUE,欺騙,分開,變老,出口,進口,晉升,FALSE,,,,,,,,,,
word-catalog-v1,CREATE_DRAFT,,,,,separate,separate,verb,B1,people-family,分開,,,,,,,,,,TRUE,拋棄,欺騙,變老,投資,交易,出口,FALSE,,,,,,,,,,
word-catalog-v1,CREATE_DRAFT,,,,,close,close,adjective,B1,people-family,親密的,緊密的,,,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,
word-catalog-v1,CREATE_DRAFT,,,,,related,related,adjective,B1,people-family,相關的,,,,,,,,,,TRUE,親密的,分居的,未婚的,已訂婚的,失業的,合格的,FALSE,,,,,,,,,,
