schema_version,requested_action,catalog_key,sense_key,record_revision,catalog_status,term,lemma,part_of_speech,level,category,definition_zh,accepted_answers_zh,prompt_en,prompt_zh,phonetic_ipa,example_en,example_zh,accepted_forms_en,synonyms_en,antonyms_en,enable_en_to_zh,distractor_zh_1,distractor_zh_2,distractor_zh_3,distractor_zh_4,distractor_zh_5,distractor_zh_6,enable_zh_to_en,distractor_en_1,distractor_en_2,distractor_en_3,distractor_en_4,distractor_en_5,distractor_en_6,source_reference,contributor_ref,change_note,retirement_reason
word-catalog-v1,CREATE_DRAFT,,,,,friend,friend,noun,A1,people-family,朋友,,,,,,,,,,TRUE,男朋友,女朋友,人,人們,妻子,孩子,TRUE,boyfriend,girlfriend,person,people,wife,child,,,,
word-catalog-v1,CREATE_DRAFT,,,,,boyfriend,boyfriend,noun,A1,people-family,男朋友,,,,,,,,,,TRUE,朋友,女朋友,人,成人,父親或母親,孫輩,TRUE,friend,girlfriend,person,adult,parent,grandchild,,,,
word-catalog-v1,CREATE_DRAFT,,,,,girlfriend,girlfriend,noun,A1,people-family,女朋友,,,,,,,,,,TRUE,朋友,男朋友,人們,成人,丈夫,姪女或外甥女,TRUE,friend,boyfriend,people,adult,husband,aunt,,,,
word-catalog-v1,CREATE_DRAFT,,,,,person,person,noun,A1,people-family,人,,,,,,,,individual,,TRUE,朋友,女朋友,人們,成人,父親或母親,姨母或姑母,TRUE,friend,girlfriend,people,parent,husband,uncle,,,,
word-catalog-v1,CREATE_DRAFT,,,,,people,people,noun,A1,people-family,人們,,,,,,,,persons,,TRUE,男朋友,人,成人,妻子,丈夫,叔伯或舅父,TRUE,boyfriend,person,adult,wife,child,niece,,,,
word-catalog-v1,CREATE_DRAFT,,,,,adult,adult,noun,A1,people-family,成人,,,,,,,,grown-up,,TRUE,人,人們,父親或母親,孩子,孫輩,姪子或外甥,TRUE,friend,person,people,parent,grandchild,aunt,,,,
word-catalog-v1,CREATE_DRAFT,,,,,parent,parent,noun,A1,people-family,父親或母親,家長,,,,,,,,,TRUE,成人,妻子,姨母或姑母,叔伯或舅父,姪女或外甥女,姪子或外甥,TRUE,girlfriend,adult,wife,husband,uncle,nephew,,,,
word-catalog-v1,CREATE_DRAFT,,,,,wife,wife,noun,A1,people-family,妻子,,,,,,,,,,TRUE,女朋友,父親或母親,丈夫,孩子,姪子或外甥,堂／表兄弟姊妹,TRUE,boyfriend,parent,husband,child,niece,cousin,,,,
word-catalog-v1,CREATE_DRAFT,,,,,husband,husband,noun,A1,people-family,丈夫,,,,,,,,,,TRUE,人們,妻子,孩子,孫輩,姨母或姑母,堂／表兄弟姊妹,TRUE,people,wife,child,grandchild,nephew,cousin,,,,
word-catalog-v1,CREATE_DRAFT,,,,,child,child,noun,A1,people-family,孩子,,,,,,,,,,TRUE,男朋友,妻子,丈夫,孫輩,叔伯或舅父,姪子或外甥,TRUE,adult,husband,grandchild,aunt,nephew,cousin,,,,
